path,total_conversions
b,1
f,1
f,1
f,1
f,1
a,0
a,0
d,0
d,0
f,1
f,1
f,1
f,1
c,0
c>c>c>c>c>c,0
f,1
g,1
d,0
d>f,0
f,1
f,1
f,1
d,0
b,1
f,1
c>c,0
c,0
c,0
g,1
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a,0
d,0
f,1
b,1
g,1
b,1
b,1
b,1
b,1
f,1
f,1
c>c>c>c>c>c,0
c>c>c,0
d,0
d,0
f,1
d,0
f,1
b,1
b,1
f,1
a,0
b,1
d,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
a,0
a>a,0
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
b,1
b,1
f,1
f,1
d>d>d,0
b,1
d,0
d,0
b,1
d,0
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d>d,0
c,0
f,1
c>c,0
c,0
f,1
f,1
f,1
f,1
b,1
b,1
b,1
f,1
f,1
c,0
c,0
f,1
d>d,0
d,0
f,1
a>a>a,0
a>a>a>a>a>a,0
a>a>a,0
a>a>a,0
f,1
f,1
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a>a>a>a>a>a>a,0
f,1
f,1
b,1
b,1
b,1
b,1
b,1
g,1
g,1
f,1
g,1
g,1
g,1
g,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a>a>a>a,0
a,0
a,0
f,1
f,1
f,1
f,1
f,1
g,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d,0
d,0
f,1
c>c>c,0
b,1
f,1
f,1
g,1
g,1
g,1
g,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
g,1
f,1
c>d,0
f,1
f,1
f,1
d,0
c>d,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d>f,0
f,1
d,0
a,0
a>a>a,0
a>a,0
f,1
f,1
f,1
f,1
f,1
f,1
g,1
f,1
f,1
g,1
b,1
b,1
b,1
d,0
f,1
c,0
c,0
b,1
f,1
f,1
f,1
a,0
g,1
g,1
g,1
g,1
b,1
f,1
f,1
d,0
f,1
d>f,0
d>f,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
f,1
d,0
f,1
f,1
f,1
c,0
d,0
d,0
b,1
b,1
b,1
f,1
f,1
f,1
f,1
g,1
c,0
f,1
f,1
f,1
d>d,0
d,0
b,1
b,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
d,0
b,1
f,1
d,0
f,1
f,1
f,1
c,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d,0
c,0
c,0
a>a>a>a>a>a>a>a>f,0
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a>a>a>f,0
a>a>a>a>a>a>a>a,0
f,1
f,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
a,0
f,1
f,1
c,0
f,1
d>d>d,0
d,0
d,0
d>d>d>d>d>d>d,0
f,1
f,1
f,1
f,1
b,1
b,1
g,1
d,0
b,1
b,1
b,1
b,1
f,1
f,1
d,0
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
g,1
g,1
c,0
c,0
c,0
d>d,0
c>c,0
f,1
f,1
c,0
c>c,0
c,0
c>c,0
f,1
f,1
f,1
c>c,0
f,1
f,1
c,0
a>f,0
a,0
f,1
b,1
f,1
f,1
f,1
f,1
f,1
d,0
f,1
f,1
f,1
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a,0
b,1
g,1
f,1
d,0
b,1
b,1
b,1
f,1
b,1
b,1
b,1
f,1
d,0
b,1
d>d>d>d,0
c>c,0
f,1
f,1
f,1
f,1
a,0
f,1
f,1
b,1
f,1
f,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
a,0
f,1
f,1
f,1
b,1
g,1
g,1
g,1
b,1
f,1
d,0
d,0
d,0
f,1
c,0
d,0
b,1
a>a>a>a>a>c>a>a>a>a>a>a>c>a>a,0
a>a,0
a,0
a,0
f,1
g,1
g,1
a>a>a>a>a,0
a>a>a>a>a>a>a>a,0
f,1
d,0
d,0
d>f,0
f,1
d,0
f,1
f,1
f,1
f,1
b,1
d,0
g,1
f,1
f,1
f,1
f,1
b,1
f,1
f,1
g,1
b,1
f,1
g,1
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a>a>a>a>a>a>a>a>a>a,0
a>a>a,0
f,1
f,1
f,1
f,1
f,1
f,1
d,0
d,0
f,1
f,1
f,1
f,1
f,1
g,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
f,1
f,1
b,1
g,1
d,0
d,0
d,0
g,1
f,1
f,1
a,0
f,1
f,1
a>a>a,0
a>a>a,0
a,0
f,1
f,1
f,1
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a>a,0
f,1
c,0
f,1
d>f,0
d,0
d,0
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
f,1
b,1
b,1
f,1
f,1
c,0
a>a>a,0
a>a>a,0
f,1
f,1
b,1
b,1
b,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
g,1
d,0
f,1
a,0
a>a,0
f,1
f,1
f,1
a,0
d,0
d,0
d,0
d,0
d,0
c>c,0
c>c>c,0
f,1
c,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
b,1
b,1
f,1
c>c,0
f,1
c,0
f,1
f,1
c>c>c>c,0
f,1
c,0
f,1
b,1
b,1
f,1
f,1
f,1
f,1
b,1
g,1
d,0
g,1
b,1
f,1
f,1
c,0
c,0
d,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
g,1
f,1
f,1
f,1
f,1
g,1
d>d>f,0
f,1
f,1
f,1
b,1
d,0
f,1
f,1
f,1
f,1
f,1
c,0
a>a,0
a,0
f,1
c,0
f,1
c,0
a,0
d,0
c,0
b,1
f,1
f,1
f,1
a,0
a,0
a,0
f,1
a>a>a>a>a>a>a>a>a>a>a>a>a>c,0
a>a>a,0
a>a,0
f,1
a>a>a>a>a>a>a>a>a>a>a,0
a,0
a,0
f,1
b,1
f,1
d>d,0
d,0
d>d>d,0
d,0
d,0
g,1
c,0
b,1
g,1
b,1
g,1
g,1
b,1
g,1
f,1
d,0
f,1
f,1
d>f,0
b,1
g,1
d>d>d>d>d,0
d>d>d,0
d,0
f,1
f,1
b,1
f,1
b,1
b,1
f,1
f,1
f,1
f,1
f,1
d,0
f,1
d,0
d,0
b,1
f,1
b,1
b,1
f,1
f,1
b,1
b,1
f,1
f,1
b,1
b,1
g,1
f,1
c,0
b,1
d,0
a,0
a,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
b,1
f,1
c,0
d,0
d,0
f,1
f,1
f,1
f,1
f,1
c,0
c,0
f,1
f,1
f,1
c>c>c>c>c,0
c>c>c,0
a,0
a,0
b,1
b,1
f,1
f,1
f,1
f,1
b,1
c,0
f,1
f,1
d,0
g,1
g,1
g,1
g,1
g,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
a>a>a>a>a,0
a>a,0
a>a>a>a>a>a>a>a,0
a,0
a>a,0
a>a>a>a>a>a>a,0
a>a>a>a>a,0
b,1
d,0
g,1
d>d,0
f,1
a,0
b,1
d,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d,0
b,1
f,1
f,1
f,1
f,1
a,0
a>a>a>a>a>a>a>a,0
f,1
f,1
b,1
f,1
f,1
f,1
f,1
f,1
c>c,0
f,1
f,1
f,1
f,1
d,0
f,1
c,0
c>c,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
c,0
c,0
c>c>c,0
c,0
f,1
f,1
f,1
a>a>a>a>a,0
a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a>a,0
a>a,0
f,1
c>c,0
d>d>d>d,0
b,1
b,1
b,1
g,1
g,1
g,1
g,1
g,1
f,1
f,1
b,1
b,1
f,1
f,1
a,0
a,0
a>a>a,0
b,1
f,1
d,0
d,0
b,1
b,1
c>c>c,0
f,1
f,1
f,1
f,1
f,1
d,0
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
c,0
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
g,1
b,1
g,1
d,0
g,1
b,1
b,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d,0
b,1
b,1
f,1
f,1
f,1
f,1
f,1
a>a>a>a>a>a,0
f,1
f,1
f,1
f,1
f,1
f,1
f,1
f,1
d,0
b,1
c,0
f,1
c>c,0
f,1
f,1
f,1
f,1
f,1
d>d,0
f,1
f,1
f,1
f,1
d>d>f,0
d,0
d,0
d,0
c>c,0
c,0
a>a,0
a,0
a,0
b,1
f,1
f,1
f,1
f,1
g,1
g,1
f,1
a,0
c>c>a>a>a>c>a>a>a>c>a>a>a>a>c>a>a>a>c,0
c>c,0
a>a>a,0
d,0
d,0
b,1
b,1
b,1
b,1
b,1
b,1
f,1
f,1
g,1
a,0
c,0
f,1
f,1
f,1
f,1
f,1
b,1
f,1
f,1
f,1
f,1
b,1
f,1
d>d>d,0
f,1
d>d,0
f,1
d,0
f,1
f,1
f,1
g,1
g,1
f,1
f,1
f,1
f,1
b,1
b,1
b,1
b,1
f,1
f,1
b,1
b,1
g,1
b,1
b,1
b,1
b,1
f,1
f,1
d,0
d,0
d,0
d>f,0
d>d,0
d,0
f,1
f,1
g,1
g,1
g,1
g,1
f,1
