path,total_conversions,total_conversion_value,total_null
['a'],0,0,4388
"['a', 'b']",0,0,17
"['a', 'c']",0,0,44
"['a', 'c', 'a']",0,0,34
"['a', 'c', 'a', 'c']",0,0,10
"['a', 'c', 'a', 'c', 'a']",0,0,6
"['a', 'c', 'a', 'c', 'a', 'c']",0,0,2
"['a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,2
"['a', 'c', 'a', 'c', 'a', 'c', 'a', 'c']",0,0,1
"['a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,1
"['a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c']",0,0,1
"['a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,2
"['a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c']",0,0,1
"['a', 'c', 'a', 'f']",0,0,2
"['a', 'c', 'b']",0,0,1
"['a', 'd']",0,0,13
"['a', 'd', 'a']",0,0,8
"['a', 'd', 'a', 'd']",0,0,3
"['a', 'd', 'b']",0,0,1
"['a', 'f']",0,0,37
"['a', 'g']",0,0,4
['b'],9177,9177,0
['c'],0,0,4738
"['c', 'a']",0,0,34
"['c', 'a', 'b']",0,0,1
"['c', 'a', 'c']",0,0,20
"['c', 'a', 'c', 'a']",0,0,6
"['c', 'a', 'c', 'a', 'c']",0,0,3
"['c', 'a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,2
"['c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c']",0,0,1
"['c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,1
"['c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'd']",0,0,1
"['c', 'a', 'c', 'b']",0,0,1
"['c', 'a', 'd', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a', 'c', 'a']",0,0,1
"['c', 'b']",0,0,16
"['c', 'd']",0,0,41
"['c', 'd', 'c']",0,0,12
"['c', 'd', 'c', 'd']",0,0,1
"['c', 'd', 'c', 'd', 'c']",0,0,1
"['c', 'd', 'c', 'd', 'c', 'd', 'c']",0,0,1
"['c', 'd', 'c', 'g']",0,0,2
"['c', 'd', 'f']",0,0,2
"['c', 'd', 'g']",0,0,2
"['c', 'f']",0,0,44
"['c', 'g']",0,0,9
['d'],0,0,7979
"['d', 'a']",0,0,9
"['d', 'a', 'd']",0,0,1
"['d', 'b']",0,0,352
"['d', 'c']",0,0,40
"['d', 'c', 'b']",0,0,2
"['d', 'c', 'd']",0,0,6
"['d', 'c', 'd', 'b']",0,0,2
"['d', 'c', 'd', 'c', 'd', 'b']",0,0,1
"['d', 'c', 'd', 'c', 'd', 'c']",0,0,1
"['d', 'c', 'd', 'f']",0,0,2
"['d', 'c', 'f']",0,0,3
"['d', 'f']",0,0,454
"['d', 'g']",0,0,223
['e'],0,0,6
['f'],37004,37004,0
['g'],3850,3850,0
