path,total_conversions,total_conversion_value,total_null
['a'],0,0.0,101256
"['a', 'd']",0,0.0,952
"['a', 'd', 'a']",0,0.0,300
"['a', 'd', 'a', 'd']",0,0.0,43
"['a', 'd', 'a', 'd', 'a']",0,0.0,27
"['a', 'd', 'a', 'd', 'a', 'd']",0,0.0,3
"['a', 'd', 'a', 'd', 'a', 'd', 'a']",0,0.0,2
"['a', 'd', 'a', 'd', 'direct']",2,99400.0,0
"['a', 'd', 'a', 'd', 'e']",0,0.0,1
"['a', 'd', 'a', 'direct']",19,45816516.0,0
"['a', 'd', 'a', 'e']",0,0.0,1
"['a', 'd', 'a', 'e', 'a']",0,0.0,1
"['a', 'd', 'direct']",62,5675670.0,0
"['a', 'd', 'e']",0,0.0,6
"['a', 'd', 'e', 'a']",0,0.0,3
"['a', 'd', 'e', 'a', 'direct']",1,28670.0,0
"['a', 'direct']",1855,260525196.0,0
"['a', 'e']",0,0.0,763
"['a', 'e', 'a']",0,0.0,238
"['a', 'e', 'a', 'd']",0,0.0,1
"['a', 'e', 'a', 'd', 'a', 'd', 'a', 'd', 'a']",0,0.0,1
"['a', 'e', 'a', 'direct']",3,131130.0,0
"['a', 'e', 'a', 'e']",0,0.0,65
"['a', 'e', 'a', 'e', 'a']",0,0.0,23
"['a', 'e', 'a', 'e', 'a', 'd', 'e', 'a']",0,0.0,1
"['a', 'e', 'a', 'e', 'a', 'e']",0,0.0,13
"['a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,8
"['a', 'e', 'a', 'e', 'a', 'e', 'a', 'e']",0,0.0,3
"['a', 'e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,1
"['a', 'e', 'a', 'e', 'a', 'e', 'direct']",1,83340.0,0
"['a', 'e', 'a', 'e', 'd', 'a']",0,0.0,1
"['a', 'e', 'a', 'e', 'direct']",1,70200.0,0
"['a', 'e', 'd']",0,0.0,3
"['a', 'e', 'd', 'a']",0,0.0,1
"['a', 'e', 'd', 'a', 'e', 'd', 'a']",0,0.0,1
"['a', 'e', 'd', 'e']",0,0.0,2
"['a', 'e', 'direct']",10,742370.0,0
['b'],0,0.0,1
['c'],0,0.0,3
['d'],0,0.0,165659
"['d', 'a']",0,0.0,796
"['d', 'a', 'd']",0,0.0,128
"['d', 'a', 'd', 'a']",0,0.0,36
"['d', 'a', 'd', 'a', 'd']",0,0.0,6
"['d', 'a', 'd', 'a', 'd', 'a']",0,0.0,2
"['d', 'a', 'd', 'a', 'd', 'a', 'd']",0,0.0,1
"['d', 'a', 'd', 'a', 'd', 'direct']",1,13500.0,0
"['d', 'a', 'd', 'a', 'direct']",2,86320.0,0
"['d', 'a', 'd', 'a', 'e']",0,0.0,1
"['d', 'a', 'd', 'direct']",24,2954160.0,0
"['d', 'a', 'direct']",57,5884180.0,0
"['d', 'a', 'e']",0,0.0,2
"['d', 'a', 'e', 'a']",0,0.0,2
"['d', 'a', 'e', 'd']",0,0.0,2
"['d', 'a', 'e', 'd', 'a', 'd', 'a']",0,0.0,1
"['d', 'direct']",18389,3552097065.0,0
"['d', 'e']",0,0.0,128
"['d', 'e', 'a']",0,0.0,3
"['d', 'e', 'a', 'd']",0,0.0,1
"['d', 'e', 'a', 'e']",0,0.0,1
"['d', 'e', 'a', 'e', 'a', 'e']",0,0.0,1
"['d', 'e', 'd']",0,0.0,17
"['d', 'e', 'd', 'direct']",2,17210.0,0
"['d', 'e', 'd', 'e']",0,0.0,3
"['d', 'e', 'd', 'e', 'd', 'e']",0,0.0,1
"['d', 'e', 'direct']",10,685810.0,0
['direct'],233890,41204986839.0,0
['e'],0,0.0,73149
"['e', 'a']",0,0.0,842
"['e', 'a', 'd']",0,0.0,3
"['e', 'a', 'd', 'a']",0,0.0,3
"['e', 'a', 'd', 'e']",0,0.0,2
"['e', 'a', 'd', 'e', 'a', 'e', 'a']",0,0.0,1
"['e', 'a', 'direct']",13,984460.0,0
"['e', 'a', 'e']",0,0.0,359
"['e', 'a', 'e', 'a']",0,0.0,61
"['e', 'a', 'e', 'a', 'direct']",4,253360.0,0
"['e', 'a', 'e', 'a', 'e']",0,0.0,32
"['e', 'a', 'e', 'a', 'e', 'a']",0,0.0,13
"['e', 'a', 'e', 'a', 'e', 'a', 'e']",0,0.0,9
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,1
