path,total_conversions,total_conversion_value,total_null
['a'],2423,308803716.0,90386
"['a', 'd']",100,8988810.0,946
"['a', 'd', 'a']",30,48395406.0,351
"['a', 'd', 'a', 'd']",6,431870.0,53
"['a', 'd', 'a', 'd', 'a']",1,3900.0,40
"['a', 'd', 'a', 'd', 'a', 'd']",0,0.0,8
"['a', 'd', 'a', 'd', 'a', 'd', 'a']",0,0.0,5
"['a', 'd', 'a', 'd', 'a', 'd', 'a', 'd']",0,0.0,2
"['a', 'd', 'a', 'd', 'a', 'd', 'a', 'd', 'a']",0,0.0,1
"['a', 'd', 'a', 'd', 'e']",0,0.0,1
"['a', 'd', 'a', 'e']",0,0.0,1
"['a', 'd', 'a', 'e', 'a']",0,0.0,2
"['a', 'd', 'e']",0,0.0,5
"['a', 'd', 'e', 'a']",1,28670.0,2
"['a', 'd', 'e', 'd']",0,0.0,1
"['a', 'e']",18,2723050.0,833
"['a', 'e', 'a']",6,364730.0,289
"['a', 'e', 'a', 'd']",0,0.0,2
"['a', 'e', 'a', 'd', 'a']",0,0.0,1
"['a', 'e', 'a', 'd', 'a', 'd', 'a', 'd', 'a']",0,0.0,1
"['a', 'e', 'a', 'd', 'e', 'a', 'e', 'a']",0,0.0,1
"['a', 'e', 'a', 'e']",1,70200.0,88
"['a', 'e', 'a', 'e', 'a']",1,74900.0,32
"['a', 'e', 'a', 'e', 'a', 'd', 'e', 'a']",0,0.0,1
"['a', 'e', 'a', 'e', 'a', 'e']",1,83340.0,15
"['a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,12
"['a', 'e', 'a', 'e', 'a', 'e', 'a', 'e']",0,0.0,4
"['a', 'e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,2
"['a', 'e', 'a', 'e', 'd', 'a']",0,0.0,1
"['a', 'e', 'd']",0,0.0,5
"['a', 'e', 'd', 'a']",0,0.0,3
"['a', 'e', 'd', 'a', 'd', 'a']",0,0.0,1
"['a', 'e', 'd', 'a', 'e', 'd', 'a']",0,0.0,1
"['a', 'e', 'd', 'e']",0,0.0,1
"['a', 'e', 'd', 'e', 'a', 'e']",0,0.0,1
['b'],0,0.0,1
['c'],0,0.0,3
['d'],22194,4396175688.0,149291
"['d', 'a']",95,9630250.0,881
"['d', 'a', 'd']",36,3926500.0,184
"['d', 'a', 'd', 'a']",4,201170.0,60
"['d', 'a', 'd', 'a', 'd']",4,233550.0,19
"['d', 'a', 'd', 'a', 'd', 'a']",0,0.0,6
"['d', 'a', 'd', 'a', 'd', 'a', 'd']",0,0.0,1
"['d', 'a', 'd', 'a', 'd', 'a', 'd', 'a', 'd']",0,0.0,3
"['d', 'a', 'd', 'a', 'e', 'a']",0,0.0,1
"['d', 'a', 'e']",0,0.0,2
"['d', 'a', 'e', 'a']",0,0.0,2
"['d', 'a', 'e', 'a', 'd']",0,0.0,1
"['d', 'a', 'e', 'a', 'd', 'a']",0,0.0,1
"['d', 'a', 'e', 'a', 'e']",0,0.0,1
"['d', 'a', 'e', 'd']",0,0.0,2
"['d', 'a', 'e', 'd', 'a', 'd', 'a']",0,0.0,1
"['d', 'e']",12,754760.0,142
"['d', 'e', 'a']",0,0.0,3
"['d', 'e', 'a', 'd']",0,0.0,1
"['d', 'e', 'a', 'e']",0,0.0,1
"['d', 'e', 'a', 'e', 'a', 'e']",0,0.0,2
"['d', 'e', 'd']",3,175210.0,18
"['d', 'e', 'd', 'a', 'd']",0,0.0,1
"['d', 'e', 'd', 'e']",0,0.0,3
"['d', 'e', 'd', 'e', 'a']",1,29900.0,0
"['d', 'e', 'd', 'e', 'd']",1,39900.0,2
"['d', 'e', 'd', 'e', 'd', 'e', 'd']",0,0.0,1
['e'],1156,308594190.0,63914
"['e', 'a']",18,1485410.0,1001
"['e', 'a', 'd']",1,5800.0,3
"['e', 'a', 'd', 'a']",0,0.0,5
"['e', 'a', 'd', 'e']",0,0.0,3
"['e', 'a', 'e']",8,363310.0,388
"['e', 'a', 'e', 'a']",3,224100.0,95
"['e', 'a', 'e', 'a', 'e']",1,88900.0,40
"['e', 'a', 'e', 'a', 'e', 'a']",1,29260.0,17
"['e', 'a', 'e', 'a', 'e', 'a', 'd', 'e', 'a']",0,0.0,1
"['e', 'a', 'e', 'a', 'e', 'a', 'e']",0,0.0,6
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,4
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a', 'e']",0,0.0,1
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,0.0,1
"['e', 'a', 'e', 'a', 'e', 'd']",0,0.0,1
"['e', 'a', 'e', 'a', 'e', 'd', 'e', 'a', 'e']",0,0.0,1
"['e', 'a', 'e', 'd']",0,0.0,2
"['e', 'a', 'e', 'd', 'a']",0,0.0,2
"['e', 'a', 'e', 'd', 'e']",0,0.0,2
"['e', 'a', 'e', 'd', 'e', 'd']",0,0.0,1
"['e', 'd']",29,4321890.0,211
"['e', 'd', 'a']",1,71100.0,7
"['e', 'd', 'a', 'e']",1,8650.0,0
"['e', 'd', 'a', 'e', 'a']",0,0.0,1
"['e', 'd', 'e']",5,2204220.0,108
"['e', 'd', 'e', 'a']",0,0.0,1
"['e', 'd', 'e', 'd']",0,0.0,16
"['e', 'd', 'e', 'd', 'e']",2,171310.0,5
"['e', 'd', 'e', 'd', 'e', 'd']",0,0.0,1
"['e', 'd', 'e', 'd', 'e', 'd', 'e']",0,0.0,1
['f'],0,0.0,66
